t,private_company,public_company,sum,,,,,,,,
2021-11-27,25736,183360,209096,,,,,,,,
2021-11-28,25736,183360,209096,,,,,,,,
2021-11-29,25736,190362,216098,,,,,,,,
2021-11-30,25736,190875,216611,,,,,,,,
2021-12-01,25736,190875,216611,,,,,,,,
2021-12-02,25736,190875,216611,,,,,,,,
2021-12-03,25736,190875,216611,,,,,,,,
2021-12-04,25736,190875,216611,,,,,,,,
2021-12-05,25736,190875,216611,,,,,,,,
2021-12-06,25736,190875,216611,,,,,,,,
2021-12-07,25736,190875,216611,,,,,,,,
2021-12-08,25736,190875,216611,,,,,,,,
2021-12-09,25736,192309,218045,,,,,,,,
2021-12-10,25736,192309,218045,,,,,,,,
2021-12-11,25736,192309,218045,,,,,,,,
2021-12-12,25736,192309,218045,,,,,,,,
2021-12-13,25736,192309,218045,,,,,,,,
2021-12-14,25736,192309,218045,,,,,,,,
2021-12-15,25736,192309,218045,,,,,,,,
2021-12-16,25736,192309,218045,,,,,,,,
2021-12-17,25736,192309,218045,,,,,,,,
2021-12-18,25736,192309,218045,,,,,,,,
2021-12-19,25736,192309,218045,,,,,,,,
2021-12-20,25736,192309,218045,,,,,,,,
2021-12-21,25736,192309,218045,,,,,,,,
2021-12-22,25736,192309,218045,,,,,,,,
2021-12-23,25736,192309,218045,,,,,,,,
2021-12-24,25736,192309,218045,,,,,,,,
2021-12-25,25736,192309,218045,,,,,,,,
2021-12-26,25736,192309,218045,,,,,,,,
2021-12-27,25736,192309,218045,,,,,,,,
2021-12-28,25736,192309,218045,,,,,,,,
2021-12-29,25736,192309,218045,,,,,,,,
2021-12-30,25736,194223,219959,,,,,,,,
2021-12-31,25737,215439,241176,,,,,,,,
2022-01-01,25737,215439,241176,,,,,,,,
2022-01-02,25737,215439,241176,,,,,,,,
2022-01-03,25737,215439,241176,,,,,,,,
2022-01-04,25737,215439,241176,,,,,,,,
2022-01-05,25737,215439,241176,,,,,,,,
2022-01-06,25737,215439,241176,,,,,,,,
2022-01-07,25737,215439,241176,,,,,,,,
2022-01-08,25737,215439,241176,,,,,,,,
2022-01-09,25737,215439,241176,,,,,,,,
2022-01-10,25737,215439,241176,,,,,,,,
2022-01-11,25737,215439,241176,,,,,,,,
2022-01-12,25737,215439,241176,,,,,,,,
2022-01-13,25737,215439,241176,,,,,,,,
2022-01-14,25737,215439,241176,,,,,,,,
2022-01-15,25737,215439,241176,,,,,,,,
2022-01-16,25737,215439,241176,,,,,,,,
2022-01-17,25737,215439,241176,,,,,,,,
2022-01-18,25737,215439,241176,,,,,,,,
2022-01-19,25737,215439,241176,,,,,,,,
2022-01-20,25737,215439,241176,,,,,,,,
2022-01-21,25737,215439,241176,,,,,,,,
2022-01-22,25737,215439,241176,,,,,,,,
2022-01-23,25737,215439,241176,,,,,,,,
2022-01-24,25737,215439,241176,,,,,,,,
2022-01-25,25737,215439,241176,,,,,,,,
2022-01-26,25737,215439,241176,,,,,,,,
2022-01-27,25737,215439,241176,,,,,,,,
2022-01-28,25737,215439,241176,,,,,,,,
2022-01-29,25737,215439,241176,,,,,,,,
2022-01-30,25737,215439,241176,,,,,,,,
2022-01-31,25737,217172,242909,,,,,,,,
2022-02-01,25737,217172,242909,,,,,,,,
2022-02-02,25737,217172,242909,,,,,,,,
2022-02-03,25737,217172,242909,,,,,,,,
2022-02-04,25737,217172,242909,,,,,,,,
2022-02-05,25737,217172,242909,,,,,,,,
2022-02-06,25737,217172,242909,,,,,,,,
2022-02-07,25737,217172,242909,,,,,,,,
2022-02-08,25737,217172,242909,,,,,,,,
