t,treasuries,gold,loans_and_private_equity,private_credit,treasuries_7dma,gold_7dma,loans_and_private_equity_7dma,private_credit_7dma
2021-12-04,13606774.43,450755246.5,0.0001,80179157.85,14220785.94,458498974.1,0.0001,79557529.51
2021-12-05,13526797.87,454739017.5,0.0001,80096678.21,13992277.64,457733406,0.0001,79704907.79
2021-12-06,13353650.32,461834982.4,0.0001,80605305.52,13728586.4,458633960.2,0.0001,79897591.62
2021-12-07,13702512.21,459898593.7,0.0001,80446457.39,13504325.8,458428163.3,0.0001,79780503.18
2021-12-08,13827645.48,460537499.6,0.0001,80746373.92,13567917.13,458442120.4,0.0001,80048056.54
2021-12-09,13622769.25,459270517.5,0.0001,82092911.9,13603709.99,457749116.3,0.0001,80477377.77
2021-12-10,13875309.51,458797061.8,0.0001,81364642.86,13645065.58,457976131.3,0.0001,80790218.24
2021-12-11,13856221.2,457454829.6,0.0001,81080383.61,13680700.83,458933214.6,0.0001,80918964.77
2021-12-12,13811688.5,458071530.9,0.0001,81323381.89,13721399.5,459409287.9,0.0001,81094208.16
2021-12-13,13812257.59,459666465.7,0.0001,82019672.19,13786914.82,459099499.8,0.0001,81296260.54
2021-12-14,13810853.22,459426726.7,0.0001,82130303.8,13802392.11,459032090.3,0.0001,81536810.02
2021-12-15,15008380.4,457602401.7,0.0001,83569814.9,13971068.52,458612790.6,0.0001,81940158.74
2021-12-16,14993282.86,458402547.6,0.0001,85721001.84,14166856.18,458488794.9,0.0001,82458457.3
2021-12-17,15130180.7,459910451.3,0.0001,85779590.43,14346123.5,458647850.5,0.0001,83089164.09
2021-12-18,14328055.5,457980598.3,0.0001,83816932.77,14413528.4,458722960.3,0.0001,83480099.69
2021-12-19,14318630.92,458561262.6,0.0001,84210503.69,14485948.74,458792922,0.0001,83892545.66
2021-12-20,14348092.48,457114532.9,0.0001,83743128.27,14562496.58,458428360.2,0.0001,84138753.67
2021-12-21,14405701.27,455227572.1,0.0001,82815506.86,14647474.88,457828480.9,0.0001,84236639.82
2021-12-22,14501539.72,453432894.3,0.0001,83346821.34,14575069.06,457232837,0.0001,84204783.6
2021-12-23,16431787.52,457485595,0.0001,85813698.65,14780569.73,457101843.8,0.0001,84218026
2021-12-24,16327520.21,453595256.3,0.0001,85524694.2,14951618.23,456199673.1,0.0001,84181612.25
2021-12-25,16394243.44,448508005.5,0.0001,85535371.4,15246787.94,454846445.5,0.0001,84427103.49
2021-12-26,16295482.86,438562797.9,0.0001,85533817.9,15529195.36,451989522,0.0001,84616148.37
2021-12-27,16361693.75,429609413.8,0.0001,85547285.67,15816852.68,448060219.3,0.0001,84873885.15
2021-12-28,16391142.31,427972041,0.0001,85456902.3,16100487.12,444166572,0.0001,85251227.35
2021-12-29,16648544.65,428107450.4,0.0001,86467969.01,16407202.11,440548651.4,0.0001,85697105.59
2021-12-30,16743036.69,427802650.5,0.0001,86708651.47,16451666.27,436308230.8,0.0001,85824955.99
2021-12-31,16607686,427054774,0.0001,86745347.48,16491689.96,432516733.3,0.0001,85999335.03
2022-01-01,16618430.22,427010057,0.0001,87069732.35,16523716.64,429445597.8,0.0001,86218529.45
2022-01-02,16626845.75,426910424.2,0.0001,88141130.32,16571054.2,427780973,0.0001,86591002.66
2022-01-03,16666573.05,425892617.7,0.0001,88895221.45,16614608.38,427250002.1,0.0001,87069279.2
2022-01-04,16453051.09,425707935.9,0.0001,88627163.3,16623452.49,426926558.5,0.0001,87522173.63
2022-01-05,15959572.21,425437101,0.0001,88940390.45,16525027.86,426545080,0.0001,87875376.69
2022-01-06,16620128.71,426925327.3,0.0001,90680313.66,16507469.58,426419748.2,0.0001,88442757
2022-01-07,15418470.62,421620714.1,0.0001,96665584.94,16337581.66,425643453.9,0.0001,89859933.78
2022-01-08,15370411.7,418869663.9,0.0001,96625064.87,16159293.3,424480540.6,0.0001,91224981.28
2022-01-09,15361345.53,419928526.9,0.0001,96871530.24,15978507.56,423483126.7,0.0001,92472181.27
2022-01-10,15304854.8,422904557,0.0001,97043983.52,15783976.38,423056260.9,0.0001,93636290.14
2022-01-11,15377017.58,422342071.8,0.0001,98131443.38,15630257.31,422575423.1,0.0001,94994044.44
2022-01-12,15413557.09,423582875.6,0.0001,101679546.1,15552255.15,422310533.8,0.0001,96813923.82
2022-01-13,15125851.01,422090373.5,0.0001,111469722.2,15338786.9,421619826.1,0.0001,99783839.32
2022-01-14,15153643.01,422761968.4,0.0001,117823088,15300954.39,421782862.4,0.0001,102806339.8
2022-01-15,15103398.74,421781406.8,0.0001,118590472.6,15262809.68,422198825.7,0.0001,105944255.1
2022-01-16,15136682.24,422017891.8,0.0001,119120348.5,15230714.92,422497306.4,0.0001,109122657.8
2022-01-17,15546591.63,422607916.7,0.0001,125203091.3,15265248.76,422454929.2,0.0001,113145387.4
2022-01-18,15402238.6,424446544.3,0.0001,125576500.7,15268851.76,422755568.2,0.0001,117066109.9
2022-01-19,16007261.11,423600902.7,0.0001,126215177.2,15353666.62,422758143.5,0.0001,120571200.1
2022-01-20,15964758.57,423746575.6,0.0001,126453072.4,15473510.56,422994743.8,0.0001,122711678.7
2022-01-21,16310605.32,424773568.4,0.0001,126328988.4,15638790.89,423282115.2,0.0001,123926807.3
2022-01-22,16180732.8,423526758.2,0.0001,124671210.4,15792695.75,423531451.1,0.0001,124795484.1
2022-01-23,16193032.01,423467229.9,0.0001,124388839.8,15943602.86,423738499.4,0.0001,125548125.7
2022-01-24,16157377.71,424150532.8,0.0001,126291233.4,16030858.02,423958873.1,0.0001,125703574.6
2022-01-25,16209784.4,422722730.7,0.0001,127216353.1,16146221.7,423712614,0.0001,125937839.2
2022-01-26,16540325.04,423062973.4,0.0001,128365929.2,16222373.69,423635767,0.0001,126245089.5
2022-01-27,16456548.75,423185147.8,0.0001,128693245.2,16292629.43,423555563,0.0001,126565114.2
2022-01-28,16078806.02,422897400.9,0.0001,130638373.4,16259515.25,423287539.1,0.0001,127180740.6
2022-01-29,18179369.2,423335132.5,0.0001,132444163.8,16545034.73,423260164,0.0001,128291162.6
2022-01-30,18333900.68,422916471.2,0.0001,133093313.1,16850873.11,423181484.2,0.0001,129534658.7
2022-01-31,18398285.6,423054622.9,0.0001,135584991.5,17171002.81,423024925.6,0.0001,130862338.5
2022-02-01,18596722.7,424721336.3,0.0001,148283838.4,17511994,423310440.7,0.0001,133871979.2
2022-02-02,18107714.43,425366632.1,0.0001,148701695.8,17735906.77,423639534.8,0.0001,136777088.7
2022-02-03,18363642.37,424261433.8,0.0001,149001838.3,18008348.71,423793290,0.0001,139678316.3
2022-02-04,18901120.82,423394094.1,0.0001,149976879.5,18411536.54,423864246.1,0.0001,142440960.1
2022-02-05,18570465.16,422834680.6,0.0001,150313335.4,18467407.39,423792753,0.0001,144993698.9
2022-02-06,18576571.34,422819385.1,0.0001,149098465.9,18502074.63,423778883.6,0.0001,147280149.3
2022-02-07,18585546.1,422564114.8,0.0001,149205224.9,18528826.13,423708811,0.0001,149225896.9
2022-02-08,18542988.6,425031224,0.0001,149163189.9,18521149.83,423753080.6,0.0001,149351518.5
2022-02-09,18633289.53,422578650,0.0001,149843850.1,18596231.99,423354797.5,0.0001,149514683.4
2022-02-10,18364322.06,422991493,0.0001,150233847.4,18596329.09,423173377.4,0.0001,149690684.7
2022-02-11,18386186.62,423264114.5,0.0001,150526501.6,18522767.06,423154808.9,0.0001,149769202.2
2022-02-12,18450552.13,422914199.7,0.0001,151944266.4,18505636.63,423166168.7,0.0001,150002192.3
2022-02-13,18347796.17,423227117.6,0.0001,152073569.9,18472954.46,423224416.2,0.0001,150427207.2
2022-02-14,18365235.28,424785958.7,0.0001,151575900.9,18441481.48,423541822.5,0.0001,150765875.2
2022-02-15,18600997.86,423157965.6,0.0001,152241493.9,18449768.52,423274214.2,0.0001,151205632.9
2022-02-16,18022330.56,422146757.7,0.0001,151842002.3,18362488.67,423212515.3,0.0001,151491083.2
2022-02-17,18006076.1,423958356.5,0.0001,152047932.9,18311310.67,423350638.6,0.0001,151750238.3
2022-02-18,17555558.93,422602233.9,0.0001,151461248.1,18192649.58,423256084.2,0.0001,151883773.5
