t,Open,High,Low,Close,Adj_Close,Volume,date,BalanceBTC,CostBasisUSD,ChangeBTC,InvestedUSD,BuyPriceUSD,MarketCap,TotalOutstanding,PriceUSD,BitcoinValueUSD,UnrealisedGainUSD,MVRV,CostBasisPriceUSD,BTCperShare,USDperShare,Yield,ExpandingPctChange,mNAV,BTCPctTotal,USDPctTotal,PremiumUSD
2024-04-09 00:00:00+00:00,147.8099976,148.0169983,137.50,144.102005,144.102005,16717000,2024-04-09 00:00:00+00:00,214278,7535000000,0,0,62500,24451408337,169681250,69074.54186,14801154681,7266154681,1.964320462,35164.59926,0.001262827,87.22917047,0.09940899,0.09940899,1.651993298,0.480013441,0.272021661,9650253656
2024-04-10 00:00:00+00:00,138.75,156.6000061,137.3769989,156.6000061,156.6000061,19392000,2024-04-10 00:00:00+00:00,214278,7535000000,0,0,62500,26572084786,169681250,70579.44568,15123622461,7588622461,2.007116451,35164.59926,0.001262827,89.12960307,0.09940899,0.09940899,1.756992073,0.480013441,0.272021661,11448462325
2024-04-11 00:00:00+00:00,154.3000031,157.8370056,151.0090027,155.1809998,155.1809998,14386000,2024-04-11 00:00:00+00:00,214278,7535000000,0,0,62500,26331306015,169681250,70046.55361,15009435414,7474435414,1.991962231,35164.59926,0.001262827,88.45665277,0.09940899,0.09940899,1.754316887,0.480013441,0.272021661,11321870601
2024-04-12 00:00:00+00:00,153.50,153.7819977,143.3000031,147.9579926,147.9579926,12906000,2024-04-12 00:00:00+00:00,214278,7535000000,0,0,62500,25105697124,169681250,67098.11369,14377649606,6842649606,1.908115409,35164.59926,0.001262827,84.73328435,0.09940899,0.09940899,1.746161425,0.480013441,0.272021661,10728047518
2024-04-15 00:00:00+00:00,147.00,148.996994,132.1049957,133.5879974,133.5879974,16125000,2024-04-15 00:00:00+00:00,214278,7535000000,0,0,62500,22667378390,169681250,63393.32517,13583794930,6048794930,1.802759778,35164.59926,0.001262827,80.05477877,0.09940899,0.09940899,1.668707346,0.480013441,0.272021661,9083583460
2024-04-16 00:00:00+00:00,130.602005,132.8500061,121.5149994,125.4029999,125.4029999,17292000,2024-04-16 00:00:00+00:00,214278,7535000000,0,0,62500,21278537773,169681250,63784.82033,13667683732,6132683732,1.813892997,35164.59926,0.001262827,80.54916929,0.09940899,0.09940899,1.556850319,0.480013441,0.272021661,7610854041
2024-04-17 00:00:00+00:00,125.8000031,126.4219971,113.1989975,118.8050003,118.8050003,20374000,2024-04-17 00:00:00+00:00,214278,7535000000,0,0,62500,20158980958,169681250,61324.21843,13140430876,5605430876,1.743919161,35164.59926,0.001262827,77.44185569,0.09940899,0.09940899,1.534118717,0.480013441,0.272021661,7018550082
2024-04-18 00:00:00+00:00,119.1999969,128.7879944,116.8430023,120.8160019,120.8160019,17697000,2024-04-18 00:00:00+00:00,214278,7535000000,0,0,62500,20500210221,169681250,63510.145,13608826851,6073826851,1.806081865,35164.59926,0.001262827,80.20230197,0.09940899,0.09940899,1.506390701,0.480013441,0.272021661,6891383370
2024-04-19 00:00:00+00:00,123.6999969,125.8649979,116.6240005,117.4110031,117.4110031,14747000,2024-04-19 00:00:00+00:00,214278,7535000000,0,0,62500,19922445772,169681250,63762.63103,13662929052,6127929052,1.813261984,35164.59926,0.001262827,80.52114805,0.09940899,0.09940899,1.458138712,0.480013441,0.272021661,6259516720
2024-04-22 00:00:00+00:00,120.9000015,134.7899933,120.8000031,132.401001,132.401001,19411000,2024-04-22 00:00:00+00:00,214278,7535000000,0,0,62500,22465967347,169681250,66944.59609,14344754161,6809754161,1.903749723,35164.59926,0.001262827,84.53941824,0.09940899,0.09940899,1.566145163,0.480013441,0.272021661,8121213186
2024-04-23 00:00:00+00:00,131.1000061,139.4450073,129.8890076,133.8639984,133.8639984,10478000,2024-04-23 00:00:00+00:00,214278,7535000000,0,0,62500,22714210581,169681250,66385.30029,14224909376,6689909376,1.887844642,35164.59926,0.001262827,83.83312461,0.09940899,0.09940899,1.596791233,0.480013441,0.272021661,8489301205
2024-04-24 00:00:00+00:00,132.701004,134.50,126.00,126.5670013,126.5670013,9512000,2024-04-24 00:00:00+00:00,214278,7535000000,0,0,62500,22449734532,177374310,64189.96791,13754497943,6219497943,1.825414458,35164.59926,0.001208055,77.54503988,0.051725538,0.051725538,1.632174044,0.480013441,0.272021661,8695236589
2024-04-25 00:00:00+00:00,122.5999985,126.7720032,120.1139984,124.0410004,124.0410004,7734000,2024-04-25 00:00:00+00:00,214278,7535000000,0,0,62500,22001686852,177374310,64515.38747,13824228197,6289228197,1.834668639,35164.59926,0.001208055,77.93816476,0.051725538,0.051725538,1.591530937,0.480013441,0.272021661,8177458655
2024-04-26 00:00:00+00:00,122.50,128.5970001,120.401001,128.2380066,128.2380066,8815000,2024-04-26 00:00:00+00:00,214278,7535000000,0,0,62500,22746127935,177374310,63777.4715,13666109038,6131109038,1.813684013,35164.59926,0.001208055,77.04672136,0.051725538,0.051725538,1.664418736,0.480013441,0.272021661,9080018897
2024-04-29 00:00:00+00:00,125.00,130.8419952,122.8420029,129.2969971,129.2969971,10131000,2024-04-29 00:00:00+00:00,214400,7542592000,122,7592000,62229.5082,22933965640,177374310,63908.38888,13701958575,6159366575,1.816611395,35180,0.001208743,77.2488337,0.052324342,0.052324342,1.673772805,0.480286738,0.27229574,9232007065
2024-04-30 00:00:00+00:00,119.901001,121.5419998,106.3170013,106.5029984,106.5029984,24936000,2024-04-30 00:00:00+00:00,214400,7542592000,0,0,62229.5082,18890895846,177374310,60636.32616,13000428329,5457836329,1.723602222,35180,0.001208743,73.29374998,0.052324342,0.052324342,1.453097957,0.480286738,0.27229574,5890467517
2024-05-01 00:00:00+00:00,101.5530014,110.9329987,101.00,102.8270035,102.8270035,19249000,2024-05-01 00:00:00+00:00,214400,7542592000,0,0,62229.5082,18238868791,177374310,58141.77728,12465597049,4923005049,1.652694067,35180,0.001208743,70.27848085,0.052324342,0.052324342,1.4631364,0.480286738,0.27229574,5773271742
2024-05-02 00:00:00+00:00,105.50,114.2300034,104.1760025,112.9420013,112.9420013,15402000,2024-05-02 00:00:00+00:00,214400,7542592000,0,0,62229.5082,20033009558,177374310,59170.10889,12686071347,5143479347,1.681924642,35180,0.001208743,71.52146975,0.052324342,0.052324342,1.579134234,0.480286738,0.27229574,7346938211
2024-05-03 00:00:00+00:00,120.1009979,124.1999969,117.2819977,122.3010025,122.3010025,15610000,2024-05-03 00:00:00+00:00,214400,7542592000,0,0,62229.5082,21693055931,177374310,62983.65548,13503695735,5961103735,1.790325625,35180,0.001208743,76.13106844,0.052324342,0.052324342,1.606453252,0.480286738,0.27229574,8189360196
2024-05-06 00:00:00+00:00,127.3850021,133.8999939,126.0100021,126.8809967,126.8809967,13870000,2024-05-06 00:00:00+00:00,214400,7542592000,0,0,62229.5082,22505429243,177374310,63228.10313,13556105312,6013513312,1.797274108,35180,0.001208743,76.4265429,0.052324342,0.052324342,1.660169254,0.480286738,0.27229574,8949323931
2024-05-07 00:00:00+00:00,127.8199997,131.8999939,125.1299973,125.7450027,125.7450027,9968000,2024-05-07 00:00:00+00:00,214400,7542592000,0,0,62229.5082,22303933098,177374310,62396.99972,13377916740,5835324740,1.773649793,35180,0.001208743,75.42195225,0.052324342,0.052324342,1.667220206,0.480286738,0.27229574,8926016358
2024-05-08 00:00:00+00:00,119.8389969,125.9899979,119.00,123.3119965,123.3119965,8590000,2024-05-08 00:00:00+00:00,214400,7542592000,0,0,62229.5082,21872380287,177374310,61079.27443,13095396437,5552804437,1.736193133,35180,0.001208743,73.8291607,0.052324342,0.052324342,1.670234299,0.480286738,0.27229574,8776983850
2024-05-09 00:00:00+00:00,123.00,130.3000031,120.098999,126.3639984,126.3639984,10534000,2024-05-09 00:00:00+00:00,214400,7542592000,0,0,62229.5082,22413727027,177374310,62998.49034,13506876328,5964284328,1.790747309,35180,0.001208743,76.14899998,0.052324342,0.052324342,1.659430832,0.480286738,0.27229574,8906850699
2024-05-10 00:00:00+00:00,128.9989929,130.1990051,117.8529968,118.0479965,118.0479965,14038000,2024-05-10 00:00:00+00:00,214400,7542592000,0,0,62229.5082,20938681930,177374310,60896.64189,13056240021,5513648021,1.731001759,35180,0.001208743,73.60840485,0.052324342,0.052324342,1.603729856,0.480286738,0.27229574,7882441909
2024-05-13 00:00:00+00:00,121.7939987,126.4150009,120.3000031,124.5960007,124.5960007,8757000,2024-05-13 00:00:00+00:00,214400,7542592000,0,0,62229.5082,22100129648,177374310,62886.93945,13482959818,5940367818,1.787576448,35180,0.001208743,76.0141636,0.052324342,0.052324342,1.639115591,0.480286738,0.27229574,8617169830
2024-05-14 00:00:00+00:00,122.6480026,129.8690033,122.6480026,129.7630005,129.7630005,9268000,2024-05-14 00:00:00+00:00,214400,7542592000,0,0,62229.5082,23016622675,177374310,61555.567,13197513566,5654921566,1.749731865,35180,0.001208743,74.40487614,0.052324342,0.052324342,1.744012049,0.480286738,0.27229574,9819109109
2024-05-15 00:00:00+00:00,137.9600067,152.0339966,135.1089935,150.3470001,150.3470001,20586000,2024-05-15 00:00:00+00:00,214400,7542592000,0,0,62229.5082,26667695407,177374310,66281.53225,14210760515,6668168515,1.884068569,35180,0.001208743,80.11735474,0.052324342,0.052324342,1.876584675,0.480286738,0.27229574,12456934892
2024-05-16 00:00:00+00:00,149.4100037,151.8899994,143.5449982,143.9980011,143.9980011,13656000,2024-05-16 00:00:00+00:00,214400,7542592000,0,0,62229.5082,25541546086,177374310,65269.26032,13993729414,6451137414,1.855294495,35180,0.001208743,78.89377787,0.052324342,0.052324342,1.82521366,0.480286738,0.27229574,11547816672
2024-05-17 00:00:00+00:00,150.0980072,158.50,146.8999939,158.4499969,158.4499969,16529000,2024-05-17 00:00:00+00:00,214400,7542592000,0,0,62229.5082,28104958878,177374310,66956.44095,14355460939,6812868939,1.903253012,35180,0.001208743,80.93314606,0.052324342,0.052324342,1.957788677,0.480286738,0.27229574,13749497939
2024-05-20 00:00:00+00:00,159.6999969,172.90,155.1419983,172.723999,172.723999,16717000,2024-05-20 00:00:00+00:00,214400,7542592000,0,0,62229.5082,30636800147,177374310,71202.20259,15265752235,7723160235,2.023939812,35180,0.001208743,86.06518179,0.052324342,0.052324342,2.00689751,0.480286738,0.27229574,15371047912
2024-05-21 00:00:00+00:00,173.00,174.00,164.50,165.5420074,165.5420074,12978000,2024-05-21 00:00:00+00:00,214400,7542592000,0,0,62229.5082,29362899347,177374310,70217.25469,15054579406,7511987406,1.99594243,35180,0.001208743,84.87463267,0.052324342,0.052324342,1.950429737,0.480286738,0.27229574,14308319941
2024-05-22 00:00:00+00:00,166.3000031,171.8000031,162.0149994,164.6999969,164.6999969,10339000,2024-05-22 00:00:00+00:00,214400,7542592000,0,0,62229.5082,29213548316,177374310,69074.91414,14809661591,7267069591,1.963471124,35180,0.001208743,83.49383623,0.052324342,0.052324342,1.972600666,0.480286738,0.27229574,14403886725
2024-05-23 00:00:00+00:00,166.9210052,167.00,153.0330048,154.4069977,154.4069977,11588000,2024-05-23 00:00:00+00:00,214400,7542592000,0,0,62229.5082,27387834673,177374310,67758.73066,14527471853,6984879853,1.92605829,35180,0.001208743,81.90290834,0.052324342,0.052324342,1.88524438,0.480286738,0.27229574,12860362820
2024-05-24 00:00:00+00:00,154.00,168.50,152.8000031,168.4839935,168.4839935,12069000,2024-05-24 00:00:00+00:00,214400,7542592000,0,0,62229.5082,29884732098,177374310,68608.99828,14709769231,7167177231,1.950227353,35180,0.001208743,82.93066358,0.052324342,0.052324342,2.031624809,0.480286738,0.27229574,15174962867
2024-05-28 00:00:00+00:00,165.00,169.1549988,161.0019989,167.5350037,167.5350037,10799000,2024-05-28 00:00:00+00:00,214400,7542592000,0,0,62229.5082,29716405675,177374310,68342.82045,14652700704,7110108704,1.942661184,35180,0.001208743,82.60892293,0.052324342,0.052324342,2.028049728,0.480286738,0.27229574,15063704971
2024-05-29 00:00:00+00:00,165.00,165.9069977,161.1179962,161.8699951,161.8699951,7344000,2024-05-29 00:00:00+00:00,214400,7542592000,0,0,62229.5082,28711578694,177374310,67584.26324,14490066039,6947474039,1.921099012,35180,0.001208743,81.69202202,0.052324342,0.052324342,1.98146638,0.480286738,0.27229574,14221512655
2024-05-30 00:00:00+00:00,165.3000031,171.4989929,153.1959991,154.1000061,154.1000061,14776000,2024-05-30 00:00:00+00:00,214400,7542592000,0,0,62229.5082,27333382254,177374310,68375.47603,14659702060,7117110060,1.943589427,35180,0.001208743,82.64839514,0.052324342,0.052324342,1.864525087,0.480286738,0.27229574,12673680194
2024-05-31 00:00:00+00:00,159.6999969,161.4819946,144.1999969,152.4490051,152.4490051,22154000,2024-05-31 00:00:00+00:00,214400,7542592000,0,0,62229.5082,27040537095,177374310,67377.76261,14445792304,6903200304,1.915229182,35180,0.001208743,81.44241578,0.052324342,0.052324342,1.871862514,0.480286738,0.27229574,12594744791
2024-06-03 00:00:00+00:00,160.1000061,165.6000061,156.0420074,162.7409973,162.7409973,11222000,2024-06-03 00:00:00+00:00,214400,7542592000,0,0,62229.5082,28866072107,177374310,68833.30284,14757860128,7215268128,1.956603264,35180,0.001208743,83.2017902,0.052324342,0.052324342,1.955979516,0.480286738,0.27229574,14108211979
2024-06-04 00:00:00+00:00,161.7420044,169.6999969,161.50,163.8769989,163.8769989,13230000,2024-06-04 00:00:00+00:00,214400,7542592000,0,0,62229.5082,29067569605,177374310,70554.08943,15126796774,7584204774,2.005517039,35180,0.001208743,85.28177939,0.052324342,0.052324342,1.921594508,0.480286738,0.27229574,13940772831
2024-06-05 00:00:00+00:00,167.50,171.7839966,163.6239929,169.47,169.47,10956000,2024-06-05 00:00:00+00:00,214400,7542592000,0,0,62229.5082,30059445902,177374310,71087.44332,15241147847,7698555847,2.020677752,35180,0.001208743,85.92646729,0.052324342,0.052324342,1.97225604,0.480286738,0.27229574,14818298055
2024-06-06 00:00:00+00:00,169.8589935,173.4700012,164.7050018,165.6629944,165.6629944,11623000,2024-06-06 00:00:00+00:00,214400,7542592000,0,0,62229.5082,29384359322,177374310,70788.50138,15177054695,7634462695,2.012180255,35180,0.001208743,85.56512324,0.032469166,0.032469166,1.936104199,0.480286738,0.27229574,14207304627
2024-06-07 00:00:00+00:00,167.102005,171.7700043,158.50,159.6199951,159.6199951,12627000,2024-06-07 00:00:00+00:00,214400,7542592000,0,0,62229.5082,28312486496,177374310,69338.15732,14866100930,7323508930,1.970953875,35180,0.001208743,83.81202966,0.032469166,0.032469166,1.904499817,0.480286738,0.27229574,13446385566
2024-06-10 00:00:00+00:00,157.5010071,164.776001,156.029007,159.9920044,159.9920044,7265000,2024-06-10 00:00:00+00:00,214400,7542592000,0,0,62229.5082,28378471385,177374310,69465.93625,14893496732,7350904732,1.974586022,35180,0.001208743,83.96648157,0.032469166,0.032469166,1.90542704,0.480286738,0.27229574,13484974653
2024-06-11 00:00:00+00:00,154.1999969,156.4149933,148.6600037,155.548996,155.548996,11412000,2024-06-11 00:00:00+00:00,214400,7542592000,0,0,62229.5082,27590395832,177374310,67368.26351,14443755696,6901163696,1.914959167,35180,0.001208743,81.4309338,0.032469166,0.032469166,1.91019541,0.480286738,0.27229574,13146640136
2024-06-12 00:00:00+00:00,162.00,169.27,159.18,160.3670044,160.3670044,13681000,2024-06-12 00:00:00+00:00,214400,7542592000,0,0,62229.5082,28444986751,177374310,68213.83468,14625046156,7082454156,1.938994732,35180,0.001208743,82.45301226,0.032469166,0.032469166,1.944950221,0.480286738,0.27229574,13819940595
2024-06-13 00:00:00+00:00,156.3300018,157.3760071,144.1009979,148.3880005,148.3880005,21108000,2024-06-13 00:00:00+00:00,214400,7542592000,0,0,62229.5082,26320219199,177374310,66783.49028,14318380315,6775788315,1.898336847,35180,0.001208743,80.72409311,0.032469166,0.032469166,1.838212048,0.480286738,0.27229574,12001838884
2024-06-14 00:00:00+00:00,150.50,153.8000031,146.151001,149.5540009,149.5540009,13790000,2024-06-14 00:00:00+00:00,214400,7542592000,0,0,62229.5082,26527037709,177374310,65982.18652,14146580790,6603988790,1.875559594,35180,0.001208743,79.7555226,0.032469166,0.032469166,1.875155425,0.480286738,0.27229574,12380456919
2024-06-17 00:00:00+00:00,149.9799957,156.901001,142.1170044,150.7259979,150.7259979,12076000,2024-06-17 00:00:00+00:00,214400,7542592000,0,0,62229.5082,26734919881,177374310,66483.87853,14254143556,6711551556,1.889820311,35180,0.001208743,80.36193943,0.032469166,0.032469166,1.875589352,0.480286738,0.27229574,12480776325
2024-06-18 00:00:00+00:00,145.7929993,151.0950012,144.6000061,146.9429932,146.9429932,8934000,2024-06-18 00:00:00+00:00,214400,7542592000,0,0,62229.5082,26063912022,177374310,65112.123,13960039172,6417447172,1.850827828,35180,0.001208743,78.7038392,0.032469166,0.032469166,1.86703717,0.480286738,0.27229574,12103872850
2024-06-20 00:00:00+00:00,148.2109985,150.5590057,142.2059937,146.5399933,146.5399933,9098000,2024-06-20 00:00:00+00:00,226331,8330000000,11931,787408000,65996.81502,25992430197,177374310,64897.70115,14688361600,6358361600,1.763308715,36804.50314,0.001276008,82.80997175,0.089924342,0.089924342,1.769593567,0.507013889,0.300722022,11304068597
