t,treasuries,gold,loans_and_private_equity,private_credit,,,,,,,
2022-04-26,33863673.96,415864101,0.0001,181967888.6,,,,,,,
2022-04-27,33830908.18,416093934.6,0.0001,180518011.4,,,,,,,
2022-04-28,33468945.43,415063329.1,0.0001,180280290.5,,,,,,,
2022-04-29,33505320.46,414148532.9,0.0001,180384230.1,,,,,,,
2022-04-30,33554758.01,418797131.3,0.0001,180504994.2,,,,,,,
2022-05-01,33584386.79,410088136.6,0.0001,180694309.3,,,,,,,
2022-05-02,33588014.85,422777897.2,0.0001,180012521.4,,,,,,,
2022-05-03,33454410.25,420818123.5,0.0001,179608035.6,,,,,,,
2022-05-04,33420535.84,427348917.7,0.0001,180915942.4,,,,,,,
2022-05-05,33060768.68,430945723.1,0.0001,182724216.9,,,,,,,
2022-05-06,33275093.41,421485776.3,0.0001,182764221.5,,,,,,,
2022-05-07,33545470.11,423177203,0.0001,184407483.5,,,,,,,
2022-05-08,33562400.56,422455358,0.0001,185522996.4,,,,,,,
2022-05-09,33505513.91,421619176.3,0.0001,186740861,,,,,,,
2022-05-10,33540250.17,421326906.1,0.0001,186403012,,,,,,,
2022-05-11,33378652.64,421512245,0.0001,186216018.6,,,,,,,
2022-05-12,33198073.34,424019426.4,0.0001,168576655.9,,,,,,,
2022-05-13,32946340.12,422444081.7,0.0001,167921249.5,,,,,,,
2022-05-14,32818217.24,420712392.9,0.0001,167581204.5,,,,,,,
2022-05-15,32766019.16,422248263.3,0.0001,167762624.6,,,,,,,
2022-05-16,32677517.77,422180427.1,0.0001,167680154.5,,,,,,,
2022-05-17,32841832.03,423956078.7,0.0001,168062000.3,,,,,,,
2022-05-18,32945008.1,422344580.1,0.0001,167673550.4,,,,,,,
2022-05-19,33103053.24,420905419.3,0.0001,167646878.7,,,,,,,
2022-05-20,33119287.92,420846757.7,0.0001,167397318.3,,,,,,,
2022-05-21,35266431.97,422157701,0.0001,169632203.5,,,,,,,
2022-05-22,35319977.89,421725285.1,0.0001,169655940.4,,,,,,,
2022-05-23,35328763.83,432843859.6,0.0001,169637472.7,,,,,,,
2022-05-24,35363065.43,429789805.2,0.0001,169590243.6,,,,,,,
2022-05-25,35229646.47,424944027,0.0001,169145246.5,,,,,,,
2022-05-26,34900728.39,424080242,0.0001,178109755,,,,,,,
2022-05-27,34796819.19,424183345.6,0.0001,178189126.4,,,,,,,
2022-05-28,34810473.47,422682722.9,0.0001,178036159.2,,,,,,,
2022-05-29,34831748.96,430419180.6,0.0001,178424110.1,,,,,,,
2022-05-30,34877601,425503997,0.0001,178434005.7,,,,,,,
2022-05-31,35976590.69,425575598.3,0.0001,179298040,,,,,,,
2022-06-01,36091502.78,423920547.8,0.0001,180187398.2,,,,,,,
2022-06-02,35686150.73,428599641.9,0.0001,180109575.1,,,,,,,
2022-06-03,34647256.91,422994398.7,0.0001,178559649.8,,,,,,,
2022-06-04,35046801.69,432947867.1,0.0001,178943049,,,,,,,
